Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Keegan Akin,28,us US,L,L,6' 0",240,Apr 1 1995,4,24,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,$731100,,akinke01
Bryan Baker,28,us US,R,R,6' 6",235,Dec 2 1994,3,46,0,2,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$729000,,bakerbr01
Mike Baumann,27,us US,R,R,6' 4",240,Sep 10 1995,3,60,0,1,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$722300,,baumami01
Félix Bautista,28,do DO,R,R,6' 8",285,Jun 20 1995,2,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,3.0,$731800,All-Star,bautife01
Eduard Bazardo,27,ve VE,R,R,6' 0",190,Sep 1 1995,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,bazared01
Anthony Bemboom,33,us US,L,R,6' 2",195,Jan 18 1990,5,6,4,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,$900000,,bemboan01
Kyle Bradish,26,us US,R,R,6' 3",215,Sep 12 1996,2,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,4.9,$728100,,bradiky01
Yennier Cano,29,cu CU,R,R,6' 4",245,Mar 9 1994,2,72,0,3,72,72,0,0,0,0,0,0,0,0,0,0,0,0,2.5,,All-Star,canoye01
Danny Coulombe,33,us US,L,L,5' 10",190,Oct 26 1989,9,61,0,2,61,61,0,0,0,0,0,0,0,0,0,0,0,0,1.2,$1000000,,couloda01
Colton Cowser,23,us US,L,R,6' 2",220,Mar 20 2000,1st,26,17,26,26,0,0,0,0,0,0,7,10,12,26,0,0,4,-0.8,,,cowseco01
Jack Flaherty,27,us US,R,R,6' 4",225,Oct 15 1995,7,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,flaheja01
Adam Frazier,31,us US,L,R,5' 10",180,Dec 14 1991,8,141,113,141,136,0,0,0,130,0,0,3,0,7,10,2,23,1,1.7,$8000000,,fraziad01
Shintaro Fujinami,29,jp JP,R,R,6' 6",180,Apr 12 1994,1st,30,0,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,fujinsh01
Reed Garrett,30,us US,R,R,6' 2",195,Jan 2 1993,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,garrere01
Kyle Gibson,35,us US,R,R,6' 6",200,Oct 23 1987,11,33,33,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$10000000,,gibsoky01
Logan Gillaspie,26,us US,R,R,6' 2",215,Apr 17 1997,2,11,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$721200,,gillalo01
Mychal Givens,33,us US,R,R,6' 0",250,May 13 1990,9,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$3000000,,givenmy01
DL Hall,24,us US,L,L,6' 2",210,Sep 19 1998,2,18,0,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,halldl01
Austin Hays,27,us US,R,R,5' 11",200,Jul 5 1995,6,144,135,144,141,0,0,0,0,0,0,137,7,5,141,3,3,1,2.5,$3200000,All-Star,haysau01
Gunnar Henderson,22,us US,L,R,6' 3",220,Jun 29 2001,2,150,143,150,136,0,0,0,0,84,83,0,0,0,0,11,6,1,6.2,$723200,,hendegu01
Aaron Hicks,33,us US,B,R,6' 1",205,Oct 2 1989,11,65,57,65,59,0,0,0,0,0,0,11,37,21,59,6,6,0,1.0,$10785714,,hicksaa01
Cole Irvin,29,us US,L,L,6' 4",225,Jan 31 1994,5,24,12,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$737600,,irvinco01
Heston Kjerstad,24,us US,L,R,6' 3",205,Feb 12 1999,1st,13,8,13,4,0,0,0,0,0,0,3,0,1,4,6,4,0,0.0,,,kjershe01
