Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,IBB,HBP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,maxEV,HardHit%,CStr%,CSW%,xBA,xSLG,xwOBA,NameASCII,PlayerId,MLBAMID
2020,"Juan Soto","WSN",47,196,13,39,37,6,0.209183673,0.142857142,0.344155844,0.362831858,0.35064935,0.489795918,0.694805194,0.47763111021207727,,201.64108210164548,-0.45014397124759853,12,1,1.805555555,0.198412698,0.515873015,0.285714285,0.055555555,0.361111111,0.061538461,0.21,0.6136,0.3603,0.6972,0.8889,0.8188,0.3724,0.4949,0.0653,0.3254,0.4365,0.2381,0.1508,0.4286,0.4206,92.13888888888889,4.247999887617808,0.1746,113.291,0.5159,0.185,0.2503,,,,"Juan Soto",20123,665742
2018,"Mike Trout","LAA",140,608,39,101,79,24,0.200657894,0.203947368,0.316348196,0.346153846,0.31210191,0.459637561,0.628450106,0.4465609106820883,,188.31611192100485,5.028929692227393,25,10,0.691823899,0.233618233,0.313390313,0.452991452,0.094339622,0.245283018,0.1,0.2176,0.5905,0.3755,0.6897,0.9167,0.8408,0.4235,0.5806,0.0598,0.4017,0.3732,0.2251,0.1595,0.396,0.4444,91.19202390491454,18.62347533831909,0.1534,118.025,0.4602,0.2013,0.2611,,,,"Mike Trout",10155,545361
2018,"Luke Voit","- - -",47,161,15,30,36,0,0.105590062,0.267080745,0.34965035,0.364705882,0.321678321,0.397515527,0.671328671,0.44725956827957436,,188.27366254321177,0.3922554422169924,0,1,0.945945945,0.28,0.35,0.37,0.054054054,0.405405405,0.085714285,0.2746,0.7872,0.4875,0.5596,0.7523,0.6888,0.4153,0.5901,0.1517,0.41,0.38,0.21,0.09,0.44,0.47,92.9925323486328,15.250509719848633,0.2,112.27,0.54,0.1237,0.2754,,,,"Luke Voit",14811,572228
2020,"Freddie Freeman","ATL",60,262,13,51,53,2,0.171755725,0.141221374,0.29906542,0.365853658,0.341121495,0.461832061,0.640186915,0.4559767199497597,,186.39479044387815,-0.34440876520238817,7,3,0.848484848,0.310734463,0.31638418,0.372881355,0.015151515,0.196969696,0.053571428,0.2816,0.8072,0.4819,0.7472,0.8599,0.8191,0.381,0.5458,0.0872,0.3729,0.3333,0.2938,0.096,0.4746,0.4294,92.44261585582386,17.21170460094105,0.1469,109.342,0.5424,0.1038,0.191,,,,"Freddie Freeman",5361,518692
2018,"Mookie Betts","BOS",136,614,32,129,80,30,0.131921824,0.148208469,0.294230769,0.368159203,0.346153846,0.438110749,0.640384615,0.4488968918032379,,184.99660549238607,6.927105044480413,8,8,0.753846153,0.211981566,0.338709677,0.449308755,0.092307692,0.164102564,0.095238095,0.1977,0.57,0.3563,0.7065,0.9298,0.8587,0.426,0.5619,0.0503,0.4724,0.3479,0.1797,0.1221,0.4332,0.4447,92.27814316860466,18.50016238190407,0.1313,110.635,0.5,0.2196,0.2699,,,,"Mookie Betts",13611,605141
2017,"Mike Trout","LAA",114,507,33,92,72,22,0.185404339,0.177514792,0.323383084,0.318021201,0.305970149,0.441814595,0.629353233,0.436901047583518,,180.49465417833704,4.0329878507182,15,7,0.816901408,0.183544303,0.367088607,0.449367088,0.098591549,0.232394366,0.112068965,0.1967,0.615,0.3771,0.6807,0.9007,0.8354,0.4311,0.5996,0.0621,0.4019,0.3576,0.2405,0.1899,0.4272,0.3829,88.78987218156645,18.03430330300633,0.1203,114.736,0.4051,0.1932,0.2553,,,,"Mike Trout",10155,545361
2020,"Marcell Ozuna","ATL",60,267,18,38,56,0,0.142322097,0.224719101,0.298245614,0.390728476,0.337719298,0.43071161,0.635964912,0.4436727838985848,,178.2700030472518,-0.15393118932843208,3,0,0.911764705,0.23076923,0.366863905,0.402366863,0.161764705,0.264705882,0.032258064,0.3249,0.6897,0.4628,0.5392,0.8357,0.7062,0.378,0.5543,0.1359,0.4497,0.2899,0.2604,0.1479,0.3905,0.4615,92.96094905695266,16.390295626849113,0.1538,115.618,0.5385,0.149,0.2849,,,,"Marcell Ozuna",10324,542303
2020,"DJ LeMahieu","NYY",50,216,10,41,27,3,0.083333333,0.097222222,0.225641025,0.369696969,0.364102564,0.421296296,0.589743589,0.42855415603628866,,177.14247988728778,0.6809843687806278,0,2,2.675675675,0.222857142,0.565714285,0.211428571,0,0.27027027,0.04040404,0.2894,0.6339,0.4415,0.8209,0.944,0.8989,0.4415,0.6528,0.0446,0.2743,0.2914,0.4343,0.1314,0.5143,0.3543,91.26569880995639,2.256883665572765,0.0286,109.458,0.4571,0.199,0.2437,,,,"DJ LeMahieu",9874,518934
2019,"Mike Trout","LAA",134,600,45,110,104,11,0.183333333,0.2,0.35319149,0.297734627,0.291489361,0.438333333,0.644680851,0.43643033280714383,,176.56433557784808,7.148156360024586,14,16,0.494252873,0.265536723,0.242937853,0.491525423,0.097701149,0.258620689,0.116279069,0.2051,0.6117,0.3683,0.6916,0.888,0.8225,0.4014,0.525,0.0654,0.4237,0.3333,0.2429,0.1299,0.4322,0.4379,90.89541547277938,22.20916905444126,0.1751,116.6,0.4379,0.1929,0.2583,,,,"Mike Trout",10155,545361
2019,"Yordan Alvarez","HOU",87,369,27,58,78,0,0.140921409,0.254742547,0.341853035,0.365979381,0.313099041,0.411924119,0.654952076,0.43207026344456084,,176.51982304598644,-1.8069803228136152,4,2,1.024390243,0.248868778,0.380090497,0.371040723,0.012195121,0.329268292,0.035714285,0.3071,0.6304,0.4324,0.6406,0.8493,0.7585,0.3876,0.5339,0.1044,0.3846,0.3756,0.2398,0.0995,0.3891,0.5113,92.16392872431507,13.383561643835616,0.1629,117.9,0.4842,0.1653,0.2697,,,,"Yordan Alvarez",19556,670541
