Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.42759725475897553,0.463,170.37525923869939,7.572666314896196,71.65319199814368,-13.554270267486572,8.289761853879577,"Ronald Acuna Jr.",18401,660670
"Mookie Betts","LAD",152,693,39,126,107,14,0.138528138,0.154401154,0.272260274,0.316027088,0.306506849,0.408369408,0.578767123,0.4164887763451839,0.411,166.71894509281736,3.492742020636797,60.77249345088622,-1.5555119514465332,8.258608570102716,"Mookie Betts",13611,605141
"Freddie Freeman","LAD",161,730,29,131,102,23,0.098630136,0.165753424,0.235478807,0.369918699,0.331240188,0.409589041,0.566718995,0.41057882659282524,0.409,162.75702127819366,5.060013529378921,61.81498387478063,-7.477410316467285,7.897707107367418,"Freddie Freeman",5361,518692
"Matt Olson","ATL",162,720,54,127,139,1,0.144444444,0.231944444,0.320723685,0.301790281,0.282894736,0.388888888,0.603618421,0.4127575982822461,0.394,160.42702095248978,1.451437508687377,55.350647485530956,-12.644522368907928,6.703881911771896,"Matt Olson",14344,621566
"Shohei Ohtani","LAA",135,599,44,102,95,20,0.151919866,0.238731218,0.350100604,0.341853035,0.303822937,0.412457912,0.653923541,0.4334825058882149,0.428,179.582966417578,3.4425843777135015,60.561489612843744,-14.475299835205078,6.6250258268087645,"Shohei Ohtani",19755,660271
"Marcus Semien","TEX",162,753,29,122,100,14,0.095617529,0.146082337,0.201492538,0.291044776,0.276119402,0.348404255,0.47761194,0.3542316264699842,0.335,124.15523210636651,2.485203554853797,24.27931264943636,13.372210264205933,6.305691584326404,"Marcus Semien",12533,543760
"Corey Seager","TEX",119,536,33,88,96,2,0.09141791,0.164179104,0.295597484,0.339779005,0.327044025,0.389925373,0.622641509,0.41859350677233265,0.413,168.76570681489181,-5.385218090843409,38.778906900839004,4.1359539944678545,6.095343841431171,"Corey Seager",13624,608369
"Francisco Lindor","NYM",160,687,31,108,98,31,0.096069868,0.199417758,0.215946844,0.27664399,0.254152823,0.336244541,0.470099667,0.3455325205194012,0.345,121.32978540203104,7.748048374429345,25.90161411106527,11.075639724731445,6.020534271388113,"Francisco Lindor",12916,596019
"Corbin Carroll","ARI",155,645,25,116,76,54,0.088372093,0.193798449,0.221238938,0.324582338,0.284955752,0.361502347,0.50619469,0.3702760033286104,0.346,133.1330974342305,15.818264928180724,42.293539409615825,-4.192876815795898,5.989914377028044,"Corbin Carroll",25878,682998
"Julio Rodríguez","SEA",155,714,32,102,103,37,0.06582633,0.245098039,0.209480123,0.32962138,0.275229357,0.333333333,0.48470948,0.3474612484375636,0.346,126.16087317333478,7.038695576135069,29.419896007332976,5.11066997051239,5.862344601093019,"Julio Rodriguez",23697,677594
"Bobby Witt Jr.","KCR",158,694,30,97,96,49,0.057636887,0.174351585,0.218408736,0.295180722,0.276131045,0.318903318,0.494539781,0.34330054368242363,0.373,114.81271600105352,7.005356648471206,19.322984993396425,14.679139614105225,5.741889573548434,"Bobby Witt Jr.",25764,677951
"Juan Soto","SDP",162,708,35,97,109,12,0.186440677,0.182203389,0.24471831,0.29584352,0.274647887,0.410183875,0.519366197,0.3948737549884566,0.408,155.06754902750566,-4.336170331109315,43.963895635063984,-12.585309982299805,5.533569290544242,"Juan Soto",20123,665742
