Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
"1. Thu,3/30 at BOS W (10-9)",Rutschman,Mountcastle,Frazier,Urías,Mateo,Santander,Mullins,Hays,Gibson,Henderson
"3. Sun,4/2 at BOS L (5-9)",Rutschman,Mountcastle,Frazier,Urías,Henderson,Vavra,Mullins,Hays,Irvin,Santander
"4. Mon,4/3 at TEX W (2-0)",Bemboom,Mountcastle,Frazier,Henderson,Mateo,Stowers,Mullins,Santander,Bradish,Rutschman
"6. Wed,4/5 at TEX L (2-5)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Santander,Rodriguez,Vavra
"7. Fri,4/7 vs NYY W (7-6)",Rutschman,Mountcastle,Frazier,Urías,Mateo,Hays,Mullins,Santander,Kremer,Henderson
"8. Sat,4/8 vs NYY L (1-4)",Rutschman,Mountcastle,Frazier,Urías,Henderson,Hays,Mullins,Vavra,Irvin,Santander
"13. Thu,4/13 vs OAK W (8-7)",Rutschman,O'Hearn,Frazier,Henderson,Mateo,Hays,Mullins,Vavra,Irvin,Mountcastle
"14. Fri,4/14 at CHW W (6-3)",Rutschman,Mountcastle,Frazier,Urías,Henderson,Hays,Mullins,Vavra,Wells,Santander
"15. Sat,4/15 at CHW L (6-7)",McCann,Mountcastle,Frazier,Urías,Mateo,Hays,Mullins,Santander,Gibson,Rutschman
"16. Sun,4/16 at CHW W (8-4)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Vavra,Rodriguez,Santander
"17. Tue,4/18 at WSN W (1-0)",Rutschman,O'Hearn,Frazier,Henderson,Mateo,Hays,Mullins,Santander,Kremer,Mountcastle
"19. Fri,4/21 vs DET W (2-1)",Rutschman,Mountcastle,Frazier,Urías,Henderson,Hays,Mullins,Vavra,Wells,Santander
"23. Tue,4/25 vs BOS L (6-8)",Rutschman,Mountcastle,Urías,Henderson,Mateo,Hays,Mullins,Frazier,Bradish,Santander
"24. Wed,4/26 vs BOS W (6-2)",Rutschman,O'Hearn,Frazier,Urías,Henderson,Vavra,Mullins,Santander,Wells,Mountcastle
"28. Sun,4/30 at DET W (5-3)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Stowers,Bradish,O'Hearn
"30. Wed,5/3 at KCR L (0-6)",Rutschman,O'Hearn,Frazier,Urías,Mateo,Stowers,Mullins,Santander,Gibson,Mountcastle
"31. Thu,5/4 at KCR W (13-10)",McCann,Mountcastle,Frazier,Henderson,Mateo,Stowers,Mullins,Santander,Rodriguez,Rutschman
"33. Sat,5/6 at ATL L (4-5)",Rutschman,Urías,Frazier,Henderson,Mateo,Stowers,Mullins,Santander,Bradish,Mountcastle
