Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
"2. Sat,4/1 at BOS L (8-9)#",Rutschman,Mountcastle,Urías,Henderson,Mateo,McKenna,Mullins,Hays,Kremer,Santander
"5. Tue,4/4 at TEX W (7-2)#",Rutschman,Mountcastle,Frazier,Urías,Mateo,McKenna,Mullins,Hays,Gibson,Santander
"9. Sun,4/9 vs NYY L (3-5)#",McCann,Mountcastle,Urías,Henderson,Mateo,Hays,Mullins,Santander,Wells,Rutschman
"10. Mon,4/10 vs OAK W (5-1)#",Rutschman,Mountcastle,Frazier,Urías,Mateo,Hays,Mullins,McKenna,Gibson,Santander
"11. Tue,4/11 vs OAK W (12-8)#",Rutschman,Mountcastle,Urías,Henderson,Mateo,Hays,Mullins,Santander,Rodriguez,McCann
"12. Wed,4/12 vs OAK L (4-8)#",McCann,Mountcastle,Urías,Henderson,Mateo,Hays,McKenna,Frazier,Kremer,Rutschman
"18. Wed,4/19 at WSN W (4-0)#",McCann,Mountcastle,Urías,Henderson,Mateo,Hays,Mullins,Santander,Bradish,Rutschman
"20. Sat,4/22 vs DET W (5-1)#",McCann,Mountcastle,Frazier,Urías,Henderson,Hays,Mullins,Santander,Gibson,Rutschman
"21. Sun,4/23 vs DET W (2-1)#",Rutschman,Mountcastle,Urías,Henderson,Mateo,Hays,Mullins,McKenna,Rodriguez,McCann
"22. Mon,4/24 vs BOS W (5-4)#",McCann,Mountcastle,Frazier,Urías,Mateo,Hays,Mullins,Santander,Kremer,Rutschman
"25. Thu,4/27 at DET W (7-4)#",Rutschman,Mountcastle,Ortiz,Urías,Mateo,McKenna,Mullins,Frazier,Gibson,Santander
"26. Sat,4/29 at DET L (4-7)#",McCann,Mountcastle,Ortiz,Urías,Mateo,Hays,Mullins,McKenna,Kremer,Santander
"27. Sat,4/29 at DET W (6-4)#",Rutschman,Mountcastle,Ortiz,Henderson,Mateo,Hays,McKenna,Santander,Rodriguez,McCann
"29. Tue,5/2 at KCR W (11-7)#",Rutschman,Mountcastle,Urías,Henderson,Mateo,Hays,Mullins,Santander,Wells,McCann
"32. Fri,5/5 at ATL W (9-4)#",Rutschman,Mountcastle,Urías,Henderson,Mateo,McKenna,Mullins,Santander,Kremer,McCann
"35. Mon,5/8 vs TBR L (0-3)#",McCann,Mountcastle,Frazier,Urías,Mateo,Hays,McKenna,Santander,Gibson,Rutschman
"37. Wed,5/10 vs TBR W (2-1)#",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Santander,Kremer,O'Hearn
"44. Thu,5/18 vs LAA L (5-6)#",McCann,Mountcastle,Ortiz,Henderson,Mateo,Hays,McKenna,Santander,Wells,Rutschman
"45. Fri,5/19 at TOR W (6-2)#",Rutschman,Mountcastle,Frazier,Ortiz,Mateo,Hays,Mullins,McKenna,Gibson,Santander
"49. Wed,5/24 at NYY W (9-6)#",McCann,Mountcastle,Frazier,Ortiz,Mateo,Hays,Mullins,Santander,Wells,Rutschman
"52. Sat,5/27 vs TEX L (3-5)#",McCann,Mountcastle,Frazier,Urías,Mateo,Hays,Mullins,McKenna,Kremer,Rutschman
"53. Sun,5/28 vs TEX W (3-2)#",Rutschman,Mountcastle,Urías,Henderson,Mateo,Hays,Mullins,Santander,Bradish,McCann
"54. Mon,5/29 vs CLE L (0-5)#",McCann,Mountcastle,Frazier,Urías,Mateo,Hays,Mullins,McKenna,Wells,Santander
"63. Fri,6/9 vs KCR W (3-2)#",Rutschman,Santander,Urías,Henderson,Mateo,Hays,Hicks,McKenna,Wells,McCann
"68. Thu,6/15 vs TOR W (4-2)#",McCann,Urías,Ortiz,Henderson,Mateo,Hays,McKenna,Santander,Wells,Rutschman
"70. Sat,6/17 at CHC L (2-3)#",McCann,Urías,Ortiz,Henderson,Mateo,Hays,Hicks,Santander,Gibson,Rutschman
"77. Mon,6/26 vs CIN W (10-3)#",Rutschman,Santander,Westburg,Urías,Mateo,McKenna,Mullins,Hicks,Irvin,Hays
"78. Tue,6/27 vs CIN L (1-3)#",Rutschman,Urías,Westburg,Henderson,Mateo,Hays,Hicks,McKenna,Wells,Santander
"91. Sat,7/15 vs MIA W (6-5)#",Rutschman,Santander,Westburg,Henderson,Mateo,Hays,Mullins,Hicks,Gibson,Mountcastle
"92. Sun,7/16 vs MIA W (5-4)#",McCann,O'Hearn,Frazier,Urías,Henderson,Hays,Cowser,Santander,Bradish,Rutschman
"95. Wed,7/19 vs LAD W (8-5)#",McCann,Mountcastle,Westburg,Urías,Mateo,Hays,Hicks,Santander,Kremer,Henderson
"98. Sat,7/22 at TBR W (6-5)#",McCann,Mountcastle,Urías,Henderson,Mateo,Hays,Hicks,Santander,Rodriguez,Rutschman
"100. Mon,7/24 at PHI W (3-2)#",McCann,Mountcastle,Westburg,Urías,Mateo,Hays,Hicks,Santander,Kremer,Henderson
"102. Wed,7/26 at PHI L (4-6)#",McCann,Mountcastle,Westburg,Urías,Mateo,Hays,McKenna,Santander,Bradish,Rutschman
"107. Tue,8/1 at TOR W (13-3)#",Rutschman,Mountcastle,Westburg,Urías,Mateo,Hays,McKenna,Santander,Bradish,Henderson
"108. Wed,8/2 at TOR L (1-4)#",McCann,Mountcastle,Westburg,Henderson,Mateo,Hays,McKenna,Santander,Rodriguez,Rutschman
"110. Fri,8/4 vs NYM W (10-3)#",McCann,Mountcastle,Westburg,Urías,Henderson,Hays,McKenna,O'Hearn,Kremer,Rutschman
"112. Sun,8/6 vs NYM W (2-0)#",McCann,Mountcastle,Westburg,Urías,Henderson,McKenna,Mateo,Santander,Bradish,Rutschman
"113. Tue,8/8 vs HOU L (6-7)#",McCann,Mountcastle,Westburg,Urías,Henderson,Hays,Mateo,Santander,Rodriguez,Rutschman
"121. Wed,8/16 at SDP L (2-5)#",McCann,Mountcastle,Westburg,Henderson,Mateo,Hays,Mullins,Santander,Kremer,Rutschman
"122. Fri,8/18 at OAK W (9-4)#",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Mullins,Santander,Gibson,Mountcastle
"123. Sat,8/19 at OAK W (7-2)#",McCann,Mountcastle,Westburg,Henderson,Mateo,Hays,Mullins,McKenna,Irvin,Rutschman
"124. Sun,8/20 at OAK W (12-1)#",Rutschman,Mountcastle,Westburg,Urías,Mateo,Hays,Mullins,McKenna,Bradish,Henderson
"125. Tue,8/22 vs TOR L (3-6)#",McCann,Mountcastle,Westburg,Henderson,Mateo,Hays,Mullins,McKenna,Rodriguez,Rutschman
"128. Fri,8/25 vs COL W (5-4)#",McCann,Mountcastle,Westburg,Henderson,Mateo,Hays,McKenna,Santander,Irvin,Rutschman
"130. Sun,8/27 vs COL L (3-4)#",McCann,Mountcastle,Westburg,Henderson,Mateo,Hays,Mullins,Santander,Flaherty,Rutschman
